"id" "area_construida_m2" "Bairro" "Cep" "cidade_uf" "Endereço" "fim_termo_convenio" "situacao_termo_convenio" "termo_convenio" "Situação" "uf"
                            Concluída" "SP"
"20261" 1017.15 "Loteamento Araguaína Sul" "77827-380" "Araguaína                        - TO" "Rua das Acácias,   " "12/08/2016" "Vigente" "1797/2011" "
                            
                            Concluída" "TO"
"1011816" 204.06 "Zona Rural                                                                                          " "77450-000" "Jaú do Tocantins                        - TO" "Rua Volta do Rio,  00 " "30/10/2016" "Vigente" "20001/2014" "
                            
                            Concluída" "TO"
"29309" 3684.64 "Calafate" "69900-000" "Rio Branco                        - AC" "Estrada do Calafate esquina com a Travessa Israel Lira,   " "30/11/2016" "Vigente" "8477/2014" "
                            
                            Contratação" "AC"
"1010086" NA "CIDADE DO POVO                                                                                      " "69900-000" "Rio Branco                        - AC" "CIDADE DO POVO,  10 " "30/06/2017" "Vigente" "23908/2014" "
                            
                            Contratação" "AC"
"1001789" NA "Centro                                                                                              " "57280-000" "Igreja Nova                        - AL" "Travessa Vereador Djalma Raposo, Terreno Pronto para edificação, 00 " "20/10/2016" "Vigente" "5976/2013" "
                            
                            Contratação" "AL"
"1013767" NA "Zona Rural                                                                                          " "57400-000" "Pão de Açúcar                        - AL" "Sítio Chifre do Bode,  00 " "30/06/2016" "Vigente" "30067/2014" "
                            
                            Contratação" "AL"
"1013657" NA "Ramal do km 26 - BR 230 - Zona rural                                                                " "69830-000" "Lábrea                        - AM" "vicinal da direita Ramal do km 26 - Distrito P A Paciá - Br 230/km 26, km 26 BR - 230 - vicinal da Direita,  " "31/12/2016" "Vigente" "29964/2014" "
                            
                            Contratação" "AM"
"1013975" 111.03 "ZONA RURAL                                                                                          " "69650-000" "Atalaia do Norte                        - AM" "COMUNIDADE RURAL DE CONTRABANDO,   " "30/06/2016" "Vigente" "30075/2014" "
                            
                            Contratação" "AM"
"1012566" NA "Ilha de Santana                                                                                     " "68925-000" "Santana                        - AP" "Rua Lucimar Letra, Lote 02P, 02 " "30/01/2017" "Vigente" "8720/2014" "
                            
                            Contratação" "AP"
"1012579" 1510.23 "PANTANAL                                                                                            " "46770-000" "Iramaia                        - BA" "LOTEAMENTO DO ALTO,  00 " "01/10/2016" "Vigente" "8732/2014" "
                            
                            Contratação" "BA"
"1010179" 851.63 "Centro                                                                                              " "48300-000" "Conde                        - BA" "Avenida  altamiro requião,  00 " "31/12/2016" "Vigente" "19625/2014" "
                            
                            Contratação" "BA"
"1009090" NA "CANINDEZINHO                                                                                        " "60000-000" "Fortaleza                        - CE" "RUA OSMAR LIMA , S/N,  " "26/07/2016" "Vigente" "11125/2014" "
                            
                            Contratação" "CE"
"1012629" 1510.23 "VILA VELHA                                                                                          " "60000-000" "Fortaleza                        - CE" "AVENIDA L,  1000 " "19/03/2018" "Vigente" "8751/2014" "
                            
                            Contratação" "CE"
"31776" 0 "Brazlândia                                                                                          " "72772-010" "Brasília                        - DF" "Núcleo Rural Incra 6, DCAG - DF-180 - KM-06, 6 " "05/04/2017" "Vigente" "11501/2014" "
                            
                            Contratação" "DF"
"29520" NA "Richimond" "29295-000" "Vargem Alta                        - ES" "Richimond - Rodovia ES 375,  00 " "30/04/2017" "Vigente" "9669/2014" "
                            
                            Contratação" "ES"
"1018396" 785.54 "Comunidade de Palmitinho" "29950-000" "Jaguaré                        - ES" "Córrego do Palmito, Palmitinho. , Comunidade Nossa Senhora das Dores Rod. ES 429KM 09,  " "31/07/2016" "Vigente" "32783/2014" "
                            
                            Contratação" "ES"
"31106" 24.09 "Mont Serrat Paiva" "72863-313" "Novo Gama                        - GO" "Quadra 13,  00 " "29/03/2017" "Vigente" "7416/2014" "
                            
                            Contratação" "GO"
"1001802" 1510.23 "Bairro Água Fria                                                                                    " "75813-000" "Caçu                        - GO" "Prolongamento da Rua Frederico de Souza Lima,  00 " "31/08/2016" "Vigente" "5788/2013" "
                            
                            Contratação" "GO"
"1004327" 773.68 "CENTRO                                                                                              " "65195-000" "Santo Amaro do Maranhão                        - MA" "RUA RIO BRANCO, S/Nº, SEDE , 00 " "17/04/2017" "Vigente" "6030/2013" "
                            
                            Contratação" "MA"
"1011060" 1575 "NOVO BACABAL                                                                                        " "65700-000" "Bacabal                        - MA" "AVENIDA DOM BOSCO , ENTRE A 1ª E A 2ª TRAVESSA DOM BOSCO, 00 " "23/01/2017" "Vigente" "9839/2014" "
                            
                            Contratação" "MA"
"1012651" NA "Antônia Cândida I                                                                                   " "38073-087" "Uberaba                        - MG" "Rua Tenente Raymundo Nonato,   " "31/03/2017" "Vigente" "8835/2014" "
                            
                            Contratação" "MG"
"1009774" NA "distrito cajuru                                                                                     " "36300-000" "São João del Rei                        - MG" "distrito cajuru,  00 " "30/11/2016" "Vigente" "19651/2014" "
                            
                            Contratação" "MG"
"19056" NA "Centro                                                                                              " "79440-000" "Jaraguari                        - MS" "RUA GOIAS,  18 " "15/10/2016" "Vigente" "4047/2013" "
                            
                            Contratação" "MS"
"1009666" NA "Carandá Bosque                                                                                      " "79900-224" "Ponta Porã                        - MS" "Rua Odeval Espindola, Esquina Rua Professor Ivo Colman, 000 " "17/01/2018" "Vigente" "11687/2014" "
                            
                            Contratação" "MS"
"1002004" 1283.33 "Cidade Tamandaré                                                                                    " "78280-000" "Mirassol d'Oeste                        - MT" "Quadra nº 83, Quadra nº 83, 83 " "29/09/2016" "Vigente" "5370/2014" "
                            
                            Contratação" "MT"
"1017782" NA "JARDIM POPULAR                                                                                      " "78680-000" "Cocalinho                        - MT" "Avenida WILMAR ALVES FERREIRA,  00 " "08/12/2016" "Vigente" "11677/2014" "
                            
                            Contratação" "MT"
"29340" NA "Centro" "68480-000" "Portel                        - PA" "Estrada Portel Tucuruí,  00 " "30/12/2016" "Vigente" "8329/2013" "
                            
                            Contratação" "PA"
"1016085" NA "RURAL                                                                                               " "68786-000" "Santo Antônio do Tauá                        - PA" "Zona Rural,  0000 " "31/07/2016" "Vigente" "33994/2014" "
                            
                            Contratação" "PA"
"1012755" 1510.23 "Bela Vista                                                                                          " "58450-000" "Boqueirão                        - PB" "Rua Castro Alves,  01 " "15/05/2017" "Vigente" "9970/2014" "
                            
                            Contratação" "PB"
"1001638" NA "Muribeca                                                                                            " "54360-220" "Jaboatão dos Guararapes                        - PE" "Rua 8,  00 " "27/09/2016" "Vigente" "5097/2013" "
                            
                            Contratação" "PE"
"24715" NA "Passarinho" "52165-050" "Recife                        - PE" "Rua Pereira Barreto, Esquina com a Rua  Várzea Comprida,  " "11/06/2017" "Vigente" "11640/2012" "
                            
                            Contratação" "PE"
"24606" NA "Aroeiras                                                                                            " "64065-500" "Teresina                        - PI" "Rua 16, Residencial Maria da Inglaterra,  " "20/05/2017" "Vigente" "8424/2014" "
                            
                            Contratação" "PI"
"1009171" 895.53 "Centro                                                                                              " "64748-000" "Acauã                        - PI" "RUA PROJETADA 01, ZONA URBANA, 00 " "17/04/2017" "Vigente" "7584/2013" "
                            
                            Contratação" "PI"
"1004466" 0 "Bom Jesus                                                                                           " "84600-000" "União da Vitória                        - PR" "Estrada Braulina Pigatto,  00 " "16/12/2016" "Vigente" "6494/2013" "
                            
                            Contratação" "PR"
"1006075" NA "JARDIM VERDES CAMPOS                                                                                " "87206-412" "Cianorte                        - PR" "RUA PAMPULHA, QUADRA 5-A / AREA INSTITUCIONAL, 331 " "21/11/2016" "Vigente" "7225/2013" "
                            
                            Contratação" "PR"
"24523" NA "Suruí" "25925-000" "Magé                        - RJ" "Rua Coronel Sérgio José do Amaral, Estrada Evaldo Luiz Pereira,  " "13/05/2016" "Vencido" "3029/2012" "
                            
                            Contratação" "RJ"
"19602" 1930.23 "Campo Grande                                                                                        " "23092-205" "Rio de Janeiro                        - RJ" "Estrada Professor Daltro Santos, lote do PAL 45.898, 400 " "30/01/2017" "Vigente" "3170/2012" "
                            
                            Contratação" "RJ"
"1014595" NA "Alto de Santana                                                                                     " "59680-000" "Augusto Severo                        - RN" "Rua Francisco Fernandes PImenta,   " "15/05/2017" "Vigente" "10012/2014" "
                            
                            Contratação" "RN"
"24339" 890.73 "CENTRO                                                                                              " "59162-000" "São José de Mipibu                        - RN" "Rua Projetada,  000 " "19/11/2016" "Vigente" "5538/2013" "
                            
                            Contratação" "RN"
"1027492" NA "Gleba B-40" "76889-000" "Cacaulândia                        - RO" "lC -25 TB 40, ZONA RURAL, 00 " "31/07/2017" "Vigente" "32154/2014" "
                            
                            Contratação" "RO"
"1003086" 0 "Bela Vista                                                                                          " "69316-134" "Boa Vista                        - RR" "Rua dos Astros, ENTRE AS RUAS RIO CLARO E RIO VERDE, 000 " "31/05/2016" "Vencido" "19485/2014" "
                            
                            Contratação" "RR"
"1002961" 0 "Raiar do Sol                                                                                        " "69316-012" "Boa Vista                        - RR" "Rua Estrela Maria, Esquina com a Avenida Brasil, 174 " "31/05/2016" "Vencido" "19483/2014" "
                            
                            Contratação" "RR"
"1013592" NA "Linha Pinheiro Machado                                                                              " "95790-000" "Brochier                        - RS" "Estrada Municipal Linha Pinheiro Machado,  000 " "31/07/2016" "Vigente" "32173/2014" "
                            
                            Contratação" "RS"
"1009324" NA "Vila Gaúcha                                                                                         " "98170-000" "Tupanciretã                        - RS" "Avenida Chiquinha de Azevedo,  451 " "15/08/2016" "Vigente" "9047/2014" "
                            
                            Contratação" "RS"
"1014175" 3228.08 "Iperoba                                                                                             " "89240-000" "São Francisco do Sul                        - SC" "Rodovia Duque de Caxias,  000 " "31/07/2016" "Vigente" "32374/2014" "
                            
                            Contratação" "SC"
"1009337" NA "Centro                                                                                              " "49514-000" "Frei Paulo                        - SE" "Rua Jose de Oliveira, Terreno do Chã Alan, 001 " "18/08/2016" "Vigente" "9851/2014" "
                            
                            Contratação" "SE"
"1001881" 1510.23 "Bonfim                                                                                              " "13319-000" "Cabreúva                        - SP" "Rua Quênia, Vilarejo Sopé da Serra, 00 " "31/12/2016" "Vigente" "6476/2013" "
                            
                            Contratação" "SP"
"1002403" NA "Cidade Santa Júlia                                                                                  " "06866-540" "Itapecerica da Serra                        - SP" "Rua Juruá,   " "03/10/2016" "Vigente" "5441/2013" "
                            
                            Contratação" "SP"
"25679" 1118.48 "Setor Buritizinho" "77320-000" "Taguatinga                        - TO" "Rua 04, Quadra 33,  " "20/02/2017" "Vigente" "3163/2012" "
                            
                            Contratação" "TO"
"24539" NA "Zenaide Paiva" "69960-000" "Feijó                        - AC" "Travessa Pupunha; Quadra nº 49,  00 " "30/12/2016" "Vigente" "4081/2013" "
                            
                            Em Reformulação" "AC"
"1005489" NA "NOSSA SENHORA DAS GRAÇAS                                                                            " "69980-000" "Cruzeiro do Sul                        - AC" "CONJUNTO HABITACIONAL VALE DOS BURITIS, CONJUNTO, 0000 " "17/10/2016" "Vigente" "6708/2013" "
                            
                            Em Reformulação" "AC"
"1001787" NA "Centro                                                                                              " "57340-000" "Feira Grande                        - AL" "Rua Otálio Luciano dos Santos,  00 " "19/10/2016" "Vigente" "5973/2013" "
                            
                            Em Reformulação" "AL"
"1013175" NA "Usina                                                                                               " "57920-000" "São Luís do Quitunde                        - AL" "Conjunto Santo Inácio I, Quadra A, Usina Santo Antonio, 00 " "02/05/2017" "Vigente" "9146/2014" "
                            
                            Em Reformulação" "AL"
"1006226" NA "UMARIAÇU II                                                                                         " "69640-000" "Tabatinga                        - AM" "19 DE ABRIL,  00 " "17/04/2017" "Vigente" "7126/2013" "
                            
                            Em Reformulação" "AM"
"1012564" NA "NOSSA SENHORA AUXILIADORA                                                                           " "69280-000" "Manicoré                        - AM" "PEDRO TINOCO/ANTONIO JOSÉ FERREIRA,  0000 " "27/03/2017" "Vigente" "8718/2014" "
                            
                            Em Reformulação" "AM"
"1010972" NA "Infraero                                                                                            " "68980-000" "Oiapoque                        - AP" "Rua Sérgio Gomes, Quadra 28, Quadra 28, Entre a Rua Tupinambá c/Avenida Santa Helena, e fundos com a Quadra 25, 28 " "29/03/2017" "Vigente" "9147/2014" "
                            
                            Em Reformulação" "AP"
"1012565" NA "Centro                                                                                              " "68940-000" "Mazagão                        - AP" "Av. Intendente Alfredo Pinto,  01 " "15/05/2017" "Vigente" "8719/2014" "
                            
                            Em Reformulação" "AP"
"25585" NA "Bairro Nova Pojuca                                                                                  " "48120-000" "Pojuca                        - BA" "Rua André Marins, Setor I,  " "15/11/2016" "Vigente" "8550/2014" "
                            
                            Em Reformulação" "BA"
"1012569" 781.01 "vila eglantina                                                                                      " "45695-000" "Arataca                        - BA" "Rua A, condominio maria ivany,  " "01/12/2016" "Vigente" "8723/2014" "
                            
                            Em Reformulação" "BA"
"1012608" NA "Granja Lisboa                                                                                       " "61661-160" "Caucaia                        - CE" "RUA SEM DENOMINAÇÃO OFICIAL, GRANJA LISBOA, 00 " "20/03/2017" "Vigente" "8813/2014" "
                            
                            Em Reformulação" "CE"
"25025" NA "COHAB CRUZEIRO                                                                                      " "62140-000" "Massapê                        - CE" "Rua SDO em Frente ao Hospital Municipal Senador Ozires Pontes,   " "17/08/2016" "Vigente" "8426/2014" "
                            
                            Em Reformulação" "CE"
"33020" NA "Taguatinga Sul (Taguatinga)                                                                         " "72025-300" "Brasília                        - DF" "Setor QSE / QSF AE 14 (CED 03 DE TAGUATINGA),  14 " "20/10/2016" "Vigente" "4102/2013" "
                            
                            Em Reformulação" "DF"
"33024" NA "Taguatinga Norte (Taguatinga)" "72110-500" "Brasília                        - DF" "Setor L Norte EQNL 9/11 Playground,   " "20/10/2016" "Vigente" "4102/2013" "
                            
                            Em Reformulação" "DF"
"1016233" NA "Nicolau de Vargas                                                                                   " "29370-000" "Conceição do Castelo                        - ES" "Rua Antonio Vinha,  00 " "30/01/2017" "Vigente" "9909/2014" "
                            
                            Em Reformulação" "ES"
"24942" NA "Bairro Nossa Senhora da Penha                                                                       " "29390-000" "Iúna                        - ES" "Rua Antonio Monteiro Alves esquina com Rua Projetada,   " "24/06/2017" "Vigente" "5529/2013" "
                            
                            Em Reformulação" "ES"
"24824" NA "MONTE SIAO                                                                                          " "75900-000" "Rio Verde                        - GO" "AVENIDA 05 DE AGOSTO,   " "23/06/2016" "Vigente" "5533/2013" "
                            
                            Em Reformulação" "GO"
"33216" NA "RESIDENCIAL CANAÃ                                                                                   " "75900-000" "Rio Verde                        - GO" "RUA RC 20,   " "27/07/2016" "Vigente" "4246/2013" "
                            
                            Em Reformulação" "GO"
"1015459" 851.63 "RURAL                                                                                               " "65300-000" "Santa Inês                        - MA" "RUA GRANDE,   " "30/01/2017" "Vigente" "29675/2014" "
                            
                            Em Reformulação" "MA"
"1002398" 2800 "VALEC                                                                                               " "65975-000" "Estreito                        - MA" "RUA PROJETADA 4,  00 " "30/07/2016" "Vigente" "6006/2013" "
                            
                            Em Reformulação" "MA"
"1016901" NA "Veneza                                                                                              " "33821-108" "Ribeirão das Neves                        - MG" "av. Dionisio Gomes , 00, 0000 " "31/08/2016" "Vigente" "10711/2014" "
                            
                            Em Reformulação" "MG"
"1002363" NA "Alto Umuarama                                                                                       " "38405-378" "Uberlândia                        - MG" "Avenida Afonso Pena, com Rua Francisco Bueno Monteiro,  " "13/10/2016" "Vigente" "5753/2013" "
                            
                            Em Reformulação" "MG"
"1001591" NA "Nova Campo Grande                                                                                   " "79105-562" "Campo Grande                        - MS" "Rua Betonica,   " "27/03/2017" "Vigente" "5158/2013" "
                            
                            Em Reformulação" "MS"
"1009246" NA "Guató                                                                                               " "79300-000" "Corumbá                        - MS" "Luiz Feitosa Rodrigues,   " "27/03/2017" "Vigente" "8223/2014" "
                            
                            Em Reformulação" "MS"
"1010207" NA "SÃO MATEUS                                                                                          " "78110-000" "Várzea Grande                        - MT" "RUA ANDRADE MURICI, RESIDENCIAL SÃO MATEUS, 00 " "28/02/2017" "Vigente" "22551/2014" "
                            
                            Em Reformulação" "MT"
"1006784" NA "Jardim dos Ipês                                                                                     " "78300-000" "Tangará da Serra                        - MT" "Rua dos Mognos, Setor S, 00 " "16/12/2016" "Vigente" "7283/2013" "
                            
                            Em Reformulação" "MT"
"1006246" NA "PRIMAVERA                                                                                           " "68400-000" "Cametá                        - PA" "RUA JATOBÁ, COM TRAVESSA FLOR DO CAMPO, 00 " "15/03/2017" "Vigente" "7136/2013" "
                            
                            Em Reformulação" "PA"
"1006595" NA "flor de nis                                                                                         " "68650-000" "Capitão Poço                        - PA" "Travessa Maria Carvalho,  250 " "20/02/2016" "Vencido" "7435/2013" "
                            
                            Em Reformulação" "PA"
"1017591" NA "CECÍLIA DE CIMA                                                                                     " "58428-000" "Santa Cecília                        - PB" "RUA PROJETADA A,  000 " "29/06/2016" "Vigente" "11081/2014" "
                            
                            Em Reformulação" "PB"
"19658" NA "RENASCER III                                                                                        " "58310-000" "Cabedelo                        - PB" "RUA SEVERINO BARBOSA LIMA,   " "08/07/2016" "Vigente" "11179/2014" "
                            
                            Em Reformulação" "PB"
"1006670" NA "Cajá                                                                                                " "55610-356" "Vitória de Santo Antão                        - PE" "6ª Travessa Professor Félix Paiva - Rua das Granjas,  00 " "30/04/2017" "Vigente" "7399/2013" "
                            
                            Em Reformulação" "PE"
"20115" NA "Sapucaia" "53270-655" "Olinda                        - PE" "Rua Pedro Ivo, LOCALIDADE DE AGUAZINHA,  " "27/10/2016" "Vigente" "3999/2013" "
                            
                            Em Reformulação" "PE"
"1016595" NA "Melancias                                                                                           " "64545-000" "Santa Cruz do Piauí                        - PI" "Rua Projetada,  00 " "24/05/2017" "Vigente" "10126/2014" "
                            
                            Em Reformulação" "PI"
"1016697" 854 "Zona Rural" "64280-000" "Campo Maior                        - PI" "Localidade São Joaquim II,   " "30/06/2016" "Vigente" "29889/2014" "
                            
                            Em Reformulação" "PI"
